,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
1289,Millennium Charter High,Sonoma County Charter,NC,NC,91.67%,91.67%,NC,NC,NC,NC,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1290,Millville Elementary,Shasta County,NC,NC,84.62%,76.92%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1291,Milpitas Unified,Southeast Consortium,78.21%,2.27%,93.32%,93.10%,21.02%,18.06%,0.27,0,39.93%,30.64%,1.93%,13.64%,56.82%,NC,59.26%,NC,77.78%,NC,70.37%,99.64%,0,4,100.00%,100.00%,98.62%,NC,NC,NC
1292,Minarets Charter High,Madera-Mariposa County,NC,NC,57.14%,50.00%,NC,NC,0.00,0,94.74%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1293,Mirus Secondary,El Dorado County Charter,NC,NC,80.00%,80.00%,15.00%,0.00%,0.00,0,97.30%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1294,Mission Academy,El Dorado County Charter,NC,NC,87.50%,75.00%,NC,NC,NC,NC,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
1295,Mission Preparatory,El Dorado County Charter,NC,NC,100.00%,100.00%,41.03%,33.33%,0.00,0,90.24%,2.44%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,97.37%,0,0,NC,NC,NC,NC,NC,NC
1296,Mission Union Elementary,Monterey County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1297,Mission View Public,El Dorado County Charter,NC,8.33%,89.66%,89.66%,7.69%,0.00%,0.00,0,94.44%,1.85%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1298,Miwok Valley Elementary Charter,Sonoma County,NC,NC,92.50%,92.50%,2.70%,5.41%,0.00,0,39.66%,29.31%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1299,Modesto City Elementary,Modesto City Schools,NC,NC,98.16%,97.82%,6.12%,3.97%,0.36,0,59.37%,23.86%,2.09%,71.93%,24.27%,68.18%,71.11%,66.67%,67.06%,70.00%,73.12%,99.71%,0,1,100.00%,100.00%,NC,NC,NC,NC
1300,Modesto City High,Modesto City Schools,75.72%,9.35%,94.92%,94.48%,10.23%,1.64%,0.73,0,51.25%,25.79%,4.23%,NC,NC,NC,NC,NC,NC,NC,NC,99.87%,0,0,100.00%,NC,100.00%,44.59%,73.20%,100.00%
1301,Modoc County Office of Education,Modoc County,NC,NC,90.91%,90.91%,NC,NC,0.00,0,59.18%,12.24%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,96.30%,NC,NC,NC
1302,Modoc Joint Unified,Modoc County,NC,NC,91.84%,89.80%,8.89%,4.55%,NC,0,54.55%,5.45%,1.82%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1303,Mojave River Academy,Desert Mountain,NC,NC,NC,NC,NC,NC,0.00,0,92.68%,2.44%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1304,Mojave River Academy - Gold Canyon,Desert Mountain,NC,NC,75.00%,75.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1305,Mojave River Academy - Marble City,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1306,Mojave River Academy - National Trails,Desert Mountain,NC,NC,100.00%,91.67%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1307,Mojave River Academy - Oro Grande,Desert Mountain,NC,NC,90.48%,90.48%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1308,Mojave River Academy - Rockview Park,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1309,Mojave River Academy - Route 66,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1310,Mojave River Academy - Silver Mountain,Desert Mountain,52.38%,NC,100.00%,100.00%,4.76%,4.76%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1311,Mojave Unified,Kern County Consortium,67.86%,0.00%,97.70%,98.47%,5.10%,3.50%,0.64,0,43.63%,21.93%,0.24%,33.33%,0.00%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1312,Monarch Learning Center,Shasta County,NC,NC,83.33%,83.33%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1313,Mono County Office of Education,Mono County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1314,Monroe Elementary,Fresno County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1315,Monroe Middle,Santa Clara Area III,NC,NC,96.60%,97.28%,10.56%,4.20%,0.00,0,73.20%,8.50%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1316,Monrovia Unified,West San Gabriel Valley,79.17%,0.00%,95.46%,95.03%,19.46%,13.41%,NC,0,53.89%,17.29%,2.74%,43.96%,52.75%,NC,75.00%,NC,64.29%,NC,67.86%,99.43%,0,0,100.00%,NC,96.53%,NC,NC,NC
1317,Monsenor Oscar Romero Charter Middle,Los Angeles Unified,NC,NC,97.50%,97.50%,2.56%,2.56%,0.00,0,89.74%,2.56%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.04%,NC,NC,NC,NC,NC,NC,NC,NC
1318,Monson-Sultana Joint Union Elementary,Tulare County,NC,NC,100.00%,100.00%,0.00%,0.00%,0.00,0,75.00%,25.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1319,Montague Charter Academy,Los Angeles Unified,NC,NC,96.61%,96.61%,22.81%,15.79%,0.00,0,98.53%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1320,Montague Elementary,Siskiyou County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,1,0,NC,NC,NC,NC,NC,NC
1321,Monte Rio Union Elementary,Sonoma County,NC,NC,75.00%,75.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1322,Montebello Unified,Downey-Montebello,72.45%,4.76%,95.09%,95.34%,13.30%,10.22%,0.05,0,45.33%,36.03%,1.71%,48.31%,16.48%,87.27%,75.00%,81.03%,71.00%,82.46%,67.35%,99.81%,0,0,98.11%,65.08%,99.36%,84.51%,88.73%,97.18%
1323,Montecito Union Elementary,Santa Barbara County,NC,NC,97.30%,97.30%,61.11%,50.00%,0.00,0,92.86%,2.38%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1324,Monterey Bay Charter,Sonoma County Charter,NC,NC,100.00%,100.00%,57.14%,25.00%,0.00,0,93.48%,4.35%,2.17%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1325,Monterey County Home Charter,Monterey County,NC,NC,79.17%,83.33%,21.05%,15.00%,0.00,0,95.00%,2.50%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1326,Monterey County Office of Education,Monterey County,NC,NC,91.98%,89.51%,6.04%,3.45%,0.00,0,NC,NC,NC,NC,NC,62.50%,28.57%,44.00%,24.14%,56.00%,27.59%,NC,1,0,100.00%,NC,100.00%,NC,NC,NC
1327,Monterey Peninsula Unified,Monterey County,69.23%,9.30%,96.15%,96.15%,8.01%,6.45%,0.22,0,57.14%,23.65%,1.38%,55.75%,20.69%,NC,70.37%,NC,74.07%,NC,85.71%,99.86%,0,1,100.00%,92.00%,100.00%,53.49%,79.07%,100.00%
1328,Montgomery Elementary,Sonoma County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1329,Moorpark Unified,Ventura County,78.69%,2.38%,95.89%,95.69%,20.20%,16.77%,NC,0,43.88%,16.35%,1.65%,53.40%,1.94%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,100.00%,100.00%,NC,NC,NC
1330,Moraga Elementary,Contra Costa,NC,NC,97.58%,96.97%,49.07%,31.25%,0.00,0,93.07%,1.98%,1.49%,82.76%,17.24%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1331,Moreland,Santa Clara Area III,NC,NC,95.06%,95.85%,27.32%,25.41%,0.00,0,61.83%,16.18%,1.66%,25.88%,45.88%,NC,80.95%,NC,85.71%,NC,85.00%,99.85%,0,1,100.00%,NC,NC,NC,NC,NC
1332,Moreno Valley Community Learning Center,Moreno Valley,NC,NC,30.00%,50.00%,NC,NC,30.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1333,Moreno Valley Unified,Moreno Valley,66.56%,2.94%,95.97%,95.90%,6.73%,5.07%,0.65,0,49.23%,25.99%,5.16%,8.57%,88.33%,77.03%,71.65%,71.43%,66.38%,76.81%,68.10%,99.67%,1,6,100.00%,88.68%,97.61%,48.25%,78.95%,85.96%
1334,Morgan Hill Unified,Southeast Consortium,58.95%,3.09%,94.68%,94.99%,14.21%,11.53%,0.65,0,46.90%,23.31%,3.52%,22.77%,43.56%,NC,NC,NC,NC,NC,NC,99.48%,0,0,100.00%,NC,99.64%,NC,NC,NC
1335,Morongo Unified,Morongo Unified,66.67%,5.60%,94.10%,93.95%,8.31%,5.34%,1.77,1,42.41%,28.92%,2.28%,48.87%,24.81%,NC,80.77%,NC,72.00%,NC,80.00%,99.68%,1,1,100.00%,NC,97.19%,31.88%,62.32%,100.00%
1336,Morrice Schaefer Charter,Sonoma County,NC,NC,93.33%,93.33%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1337,Morris E. Dailey Charter Elementary,Fresno Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1338,Mother Lode Union Elementary,El Dorado County,NC,NC,95.56%,94.44%,12.79%,11.76%,0.00,0,63.08%,16.15%,5.38%,93.55%,6.45%,NC,NC,NC,NC,NC,NC,99.50%,0,0,NC,NC,NC,NC,NC,NC
1339,Mount Pleasant Elementary,Southeast Consortium,NC,NC,96.38%,95.93%,8.45%,7.08%,0.00,0,55.63%,31.40%,2.73%,51.35%,48.65%,NC,NC,NC,NC,NC,NC,99.74%,0,0,100.00%,NC,NC,NC,NC,NC
1340,Mountain Elementary,North Santa Cruz County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1341,Mountain Empire Unified,East County,NC,3.23%,97.58%,98.17%,18.01%,12.42%,NC,0,77.78%,6.13%,1.53%,30.23%,25.58%,NC,NC,NC,NC,NC,NC,99.72%,0,1,100.00%,NC,100.00%,NC,NC,NC
1342,Mountain Home Charter,Madera-Mariposa County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,97.30%,2.70%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1343,Mountain House Elementary,Tri-Valley,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1344,Mountain Oaks,Calaveras County,NC,NC,100.00%,100.00%,25.68%,9.46%,0.00,0,91.60%,7.56%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1345,Mountain Union Elementary,Shasta County,NC,NC,83.33%,83.33%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1346,Mountain Valley Unified,Trinity County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,66.67%,6.67%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1347,Mountain View Elementary,West San Gabriel Valley,NC,NC,98.58%,98.05%,11.17%,7.25%,NC,0,55.74%,23.55%,1.64%,34.44%,36.42%,NC,75.00%,NC,70.83%,NC,66.67%,99.69%,0,0,100.00%,82.61%,NC,NC,NC,NC
1348,Mountain View Elementary,West End,NC,NC,98.24%,98.24%,11.66%,8.97%,0.00,0,50.50%,19.27%,0.33%,26.19%,71.43%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1349,Mountain View Montessori Charter,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1350,Mountain View Whisman,Santa Clara Area I,NC,NC,96.68%,95.91%,24.34%,20.80%,0.00,0,72.09%,15.06%,1.81%,44.30%,21.52%,NC,61.90%,NC,71.43%,NC,66.67%,99.72%,0,1,100.00%,100.00%,NC,NC,NC,NC
1351,Mountain View-Los Altos Union High,Santa Clara Area I,79.49%,5.93%,83.21%,79.39%,34.86%,13.46%,0.73,0,40.79%,18.02%,6.14%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,100.00%,91.30%,95.65%,95.65%
1352,Mt. Baldy Joint Elementary,West End,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1353,Mt. Diablo Unified,Mt. Diablo Unified,68.41%,0.00%,89.52%,88.53%,14.67%,10.72%,0.43,0,55.23%,20.46%,6.64%,49.00%,41.69%,68.09%,77.05%,76.74%,80.87%,82.00%,72.65%,99.96%,0,1,100.00%,100.00%,100.00%,52.15%,81.82%,100.00%
1354,Mt. Lassen Charter,Lassen County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1355,Mt. Shasta Union Elementary,Siskiyou County,NC,NC,97.56%,95.12%,17.50%,2.56%,0.00,0,86.54%,9.62%,1.92%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1356,Mueller Charter,South County,NC,NC,96.94%,93.88%,29.47%,23.91%,0.00,0,94.78%,1.49%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,100.00%,NC,100.00%,NC,NC,NC
1357,Mulberry Elementary,Imperial County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1358,Multicultural Learning Center,Los Angeles Unified,NC,NC,96.97%,96.97%,12.50%,12.50%,0.00,0,97.62%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1359,Mupu Elementary,Ventura County,NC,NC,92.31%,84.62%,NC,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1360,Muroc Joint Unified,Kern County Consortium,NC,0.00%,97.76%,97.76%,16.03%,11.45%,0.00,0,44.20%,7.59%,0.00%,38.46%,46.15%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1361,Murrieta Valley Unified,Riverside County,87.65%,0.55%,96.23%,95.85%,24.36%,18.33%,0.17,0,45.47%,26.22%,0.86%,43.26%,55.90%,90.32%,83.33%,89.66%,85.39%,95.24%,85.56%,99.75%,0,0,97.37%,100.00%,100.00%,60.14%,79.73%,92.57%
1362,Museum,El Dorado County Charter,NC,NC,100.00%,92.31%,46.15%,36.11%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1363,N.E.W. Academy Canoga Park,Los Angeles Unified,NC,NC,94.44%,94.44%,NC,NC,0.00,0,96.67%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1364,N.E.W. Academy of Science and Arts,Los Angeles Unified,NC,NC,93.33%,93.33%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1365,NOVA Academy - Coachella,Riverside County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1366,Napa County Office of Education,Napa County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,70.27%,78.35%,73.68%,77.66%,82.35%,83.51%,NC,0,0,100.00%,NC,NC,NC,NC,NC
1367,Napa Valley Language Academy,Napa County,NC,NC,96.77%,96.77%,33.33%,23.33%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1368,Napa Valley Unified,Napa County,69.12%,0.00%,95.72%,95.43%,14.72%,13.24%,0.20,0,58.55%,15.09%,1.75%,78.16%,3.74%,NC,NC,NC,NC,NC,NC,99.62%,0,0,100.00%,83.33%,99.32%,NC,NC,NC
1369,National Elementary,South County,NC,NC,97.18%,96.91%,11.30%,9.57%,0.00,0,52.50%,25.15%,1.60%,63.69%,35.67%,72.73%,79.07%,80.95%,75.00%,NC,77.50%,100.00%,0,0,100.00%,93.75%,NC,NC,NC,NC
1370,National University Academy 1001 STEAM,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1371,National University Academy Dual Language Institute,El Dorado County Charter,NC,NC,90.00%,90.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1372,National University Academy Sparrow,East County,NC,NC,96.88%,96.88%,41.94%,16.13%,0.00,0,96.55%,3.45%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1373,Natomas Charter,Sacramento County,NC,NC,92.94%,92.94%,34.18%,21.52%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1374,Natomas Pacific Pathways Prep,Natomas Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1375,Natomas Pacific Pathways Prep Elementary,Natomas Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1376,Natomas Pacific Pathways Prep Middle,Natomas Unified,NC,NC,100.00%,100.00%,20.00%,12.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1377,Natomas Unified,Natomas Unified,71.26%,1.53%,96.06%,95.17%,13.91%,10.70%,0.97,0,68.07%,16.03%,2.42%,55.23%,29.07%,NC,62.07%,NC,50.00%,80.95%,55.17%,99.74%,0,0,100.00%,78.26%,100.00%,NC,NC,NC
1378,Nea Community Learning Center,El Dorado County Charter,NC,NC,100.00%,100.00%,23.40%,21.28%,0.00,0,91.43%,2.86%,1.43%,NC,NC,NC,NC,NC,NC,NC,NC,98.55%,0,2,NC,NC,NC,NC,NC,NC
1379,Needles Unified,Desert Mountain,NC,0.00%,97.30%,97.30%,2.78%,5.56%,0.00,0,72.68%,19.13%,1.09%,NC,NC,NC,NC,NC,NC,NC,NC,99.58%,0,0,NC,NC,100.00%,NC,NC,NC
1380,Nestle Avenue Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,13.16%,21.05%,0.00,0,58.82%,31.37%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1381,Nestor Language Academy Charter,South County,NC,NC,100.00%,100.00%,20.34%,20.34%,0.00,0,98.70%,1.30%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1382,Nevada City Charter,Nevada County,NC,NC,66.67%,66.67%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1383,Nevada City Elementary,Nevada County,NC,NC,95.74%,89.36%,28.89%,14.29%,0.00,0,56.92%,10.77%,1.54%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1384,Nevada City School of the Arts,Nevada County,NC,NC,95.65%,95.65%,25.00%,15.91%,0.00,0,96.49%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1385,Nevada County Office of Education,Nevada County,NC,NC,90.00%,90.00%,11.11%,3.70%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1386,Nevada Joint Union High,Nevada County,79.57%,8.55%,80.28%,83.10%,15.79%,3.39%,2.91,2,30.93%,21.39%,3.61%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,100.00%,45.83%,70.83%,100.00%
1387,New Day Academy,El Dorado County Charter,NC,NC,93.33%,93.33%,39.29%,14.29%,NC,NC,98.18%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1388,New Designs Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,13.33%,2.22%,0.00,0,98.65%,1.35%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.65%,NC,NC,NC,NC,100.00%,NC,NC,NC
1389,New Designs Charter School-Watts,Los Angeles Unified,NC,NC,100.00%,100.00%,20.00%,32.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.63%,NC,NC,NC,NC,100.00%,NC,NC,NC
1390,New Haven Unified,Mission Valley,69.66%,6.67%,90.06%,90.22%,9.28%,7.69%,0.69,1,53.21%,20.46%,3.67%,37.84%,52.03%,NC,67.57%,80.95%,70.00%,71.43%,73.68%,99.85%,0,1,100.00%,87.50%,99.37%,48.28%,93.10%,100.00%
1391,New Heights Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,30.00%,26.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.18%,NC,NC,NC,NC,NC,NC,NC,NC
1392,New Hope Elementary,Lodi Area,NC,NC,100.00%,100.00%,NC,NC,0.00,0,90.91%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1393,New Horizons Charter Academy,Los Angeles Unified,NC,NC,85.00%,85.00%,23.53%,17.65%,NC,0,96.00%,4.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.88%,NC,NC,NC,NC,NC,NC,NC,NC
1394,New Jerusalem,El Dorado County Charter,NC,NC,100.00%,100.00%,17.24%,10.34%,0.00,0,57.89%,7.89%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1395,New Jerusalem Elementary,San Joaquin County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,1,2,NC,NC,NC,NC,NC,NC
1396,New Joseph Bonnheim,Sacramento City Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1397,New Los Angeles Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,12.50%,5.00%,0.00,0,94.59%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1398,New Los Angeles Charter Elementary,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,95.45%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1399,New Millennium Secondary,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,95.45%,4.55%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
